Feature:c_01, Importance:5988
Feature:c_02, Importance:6724
Feature:c_03, Importance:6603
Feature:c_04, Importance:6127
Feature:c_05, Importance:5007
Feature:c_06, Importance:5421
Feature:c_07, Importance:5771
Feature:c_08, Importance:5803
Feature:c_09, Importance:5566
Feature:c_10, Importance:4279
Feature:c_11, Importance:5119
Feature:c_12, Importance:5253
Feature:c_13, Importance:5461
Feature:c_14, Importance:5178
Feature:c_15, Importance:4218
Feature:c_16, Importance:4930
Feature:c_17, Importance:5081
Feature:c_18, Importance:5226
Feature:c_19, Importance:4980
Feature:c_20, Importance:4026
Feature:c_21, Importance:5010
Feature:c_22, Importance:4914
Feature:c_23, Importance:4891
Feature:c_24, Importance:5068
Feature:c_25, Importance:3894
Feature:c_26, Importance:4944
Feature:c_27, Importance:5057
Feature:c_28, Importance:5123
Feature:c_29, Importance:5161
Feature:c_30, Importance:4121
Feature:c_31, Importance:5219
Feature:c_32, Importance:5546
Feature:c_33, Importance:5288
Feature:c_34, Importance:5571
Feature:c_35, Importance:4557
Feature:c_36, Importance:5501
Feature:c_37, Importance:6032
Feature:c_38, Importance:6318
Feature:c_39, Importance:6590
Feature:c_40, Importance:5882
Feature:d_04, Importance:13850
Feature:d_06, Importance:15730
Feature:d_09, Importance:14169
Feature:d_10, Importance:15695
Feature:c_diff_01_40, Importance:7768
Feature:c_diff_01_05, Importance:5368
Feature:c_diff_05_10, Importance:5136
Feature:c_diff_10_15, Importance:5146
Feature:c_diff_15_20, Importance:5014
Feature:c_diff_20_25, Importance:5164
Feature:c_diff_25_30, Importance:5445
Feature:c_diff_30_35, Importance:5471
Feature:c_diff_35_40, Importance:5746
Feature:c_div_01_40, Importance:7199
Feature:c_div_01_05, Importance:8406
Feature:c_div_05_10, Importance:7861
Feature:c_div_10_15, Importance:7944
Feature:c_div_15_20, Importance:8050
Feature:c_div_20_25, Importance:7639
Feature:c_div_25_30, Importance:8659
Feature:c_div_30_35, Importance:8353
Feature:c_div_35_40, Importance:8565
