Feature:c_01, Importance:5654
Feature:c_02, Importance:6738
Feature:c_03, Importance:6102
Feature:c_04, Importance:6076
Feature:c_05, Importance:4814
Feature:c_06, Importance:5429
Feature:c_07, Importance:5719
Feature:c_08, Importance:5642
Feature:c_09, Importance:5683
Feature:c_10, Importance:4232
Feature:c_11, Importance:5189
Feature:c_12, Importance:5369
Feature:c_13, Importance:5481
Feature:c_14, Importance:5250
Feature:c_15, Importance:4043
Feature:c_16, Importance:5177
Feature:c_17, Importance:4921
Feature:c_18, Importance:4939
Feature:c_19, Importance:4982
Feature:c_20, Importance:3766
Feature:c_21, Importance:4907
Feature:c_22, Importance:5190
Feature:c_23, Importance:5129
Feature:c_24, Importance:5197
Feature:c_25, Importance:3781
Feature:c_26, Importance:4761
Feature:c_27, Importance:4884
Feature:c_28, Importance:4968
Feature:c_29, Importance:4908
Feature:c_30, Importance:4024
Feature:c_31, Importance:5076
Feature:c_32, Importance:5193
Feature:c_33, Importance:5101
Feature:c_34, Importance:5358
Feature:c_35, Importance:4353
Feature:c_36, Importance:5584
Feature:c_37, Importance:6031
Feature:c_38, Importance:6155
Feature:c_39, Importance:6397
Feature:c_40, Importance:5768
Feature:c_diff_01_40, Importance:7446
Feature:c_diff_01_05, Importance:5357
Feature:c_diff_05_10, Importance:5144
Feature:c_diff_10_15, Importance:5078
Feature:c_diff_15_20, Importance:5197
Feature:c_diff_20_25, Importance:5240
Feature:c_diff_25_30, Importance:5414
Feature:c_diff_30_35, Importance:5510
Feature:c_diff_35_40, Importance:5675
Feature:c_div_01_40, Importance:6733
Feature:c_div_01_05, Importance:8223
Feature:c_div_05_10, Importance:7694
Feature:c_div_10_15, Importance:7763
Feature:c_div_15_20, Importance:7670
Feature:c_div_20_25, Importance:7759
Feature:c_div_25_30, Importance:8190
Feature:c_div_30_35, Importance:8228
Feature:c_div_35_40, Importance:8137
